Pyroxene Minerals (crystalline) (Jäger et al. 1998) :Enstatite (normal to c-axis), s1from: http://www.astro.uni-jena.de/Laboratory/Database/data/silicate/ens_s1.lnk808 linesmicrons    n               k

Wavelength [microns]  Re(m)       Im(m)
      9.75000       1.1773700      1.22068
      9.76395       1.2476300      1.37136
      9.77794       1.3758100      1.50771
      9.79197       1.5265501      1.59286
      9.80603       1.7011900      1.64582
      9.82014       1.8722700      1.65378
      9.83429       2.0543599      1.62115
      9.84848       2.2040300      1.55177
      9.86272       2.3488901      1.44855
      9.87699       2.4466100      1.33007
      9.89130       2.5316601      1.18889
      9.90566       2.5686700      1.05882
      9.92006       2.6079199     0.913123
      9.93450       2.5942600     0.767422
      9.94898       2.5541601     0.634186
      9.96350       2.4906800     0.537693
      9.97807       2.4239299     0.452511
      9.99268       2.3486300     0.402758
      10.0073       2.2880700     0.363134
      10.0220       2.2310600     0.337335
      10.0368       2.1803801     0.315297
      10.0515       2.1412101     0.302794
      10.0664       2.1011400     0.278022
      10.0812       2.0577900     0.270290
      10.0962       2.0248499     0.259563
      10.1111       1.9905500     0.252361
      10.1261       1.9599100     0.247731
      10.1412       1.9374700     0.241709
      10.1563       1.9069700     0.230770
      10.1714       1.8828400     0.227597
      10.1866       1.8524700     0.218650
      10.2018       1.8309400     0.219960
      10.2171       1.8020900     0.207592
      10.2324       1.7745000     0.215848
      10.2478       1.7565500     0.208880
      10.2632       1.7262900     0.210831
      10.2786       1.7093101     0.215089
      10.2941       1.6908000     0.211110
      10.3097       1.6663300     0.209070
      10.3253       1.6458499     0.211509
      10.3409       1.6262900     0.209060
      10.3566       1.6021200     0.205610
      10.3723       1.5750901     0.209330
      10.3881       1.5556999     0.210150
      10.4040       1.5255800     0.212819
      10.4199       1.5085599     0.220259
      10.4358       1.4816000     0.216930
      10.4518       1.4563900     0.224449
      10.4678       1.4283299     0.226260
      10.4839       1.4020000     0.235109
      10.5000       1.3714800     0.238680
      10.5162       1.3415300     0.251041
      10.5324       1.3096700     0.259213
      10.5487       1.2789100     0.274542
      10.5650       1.2430900     0.283576
      10.5814       1.2055700     0.307354
      10.5978       1.1718100     0.321916
      10.6143       1.1243700     0.349573
      10.6308       1.0886700     0.380918
      10.6474       1.0401900     0.415223
      10.6641      0.99887598     0.465273
      10.6807      0.95733303     0.518616
      10.6975      0.92236501     0.584531
      10.7143      0.88985699     0.658731
      10.7311      0.87605202     0.745227
      10.7480      0.86727101     0.829334
      10.7650      0.87778699     0.926127
      10.7820      0.89963901      1.01442
      10.7991      0.94120800      1.10676
      10.8162      0.99025601      1.18817
      10.8333       1.0698900      1.27188
      10.8506       1.1632700      1.32275
      10.8678       1.2763799      1.34852
      10.8852       1.3750100      1.32510
      10.9026       1.4538600      1.26339
      10.9200       1.4605300      1.18315
      10.9375       1.4270500      1.12587
      10.9551       1.3403200      1.10927
      10.9727       1.2566400      1.15997
      10.9903       1.1856300      1.25711
      11.0081       1.1641400      1.39695
      11.0259       1.1777300      1.54134
      11.0437       1.2418700      1.70015
      11.0616       1.3389200      1.84034
      11.0795       1.4874600      1.97248
      11.0976       1.6515000      2.06351
      11.1156       1.8582500      2.13159
      11.1338       2.0563300      2.15154
      11.1520       2.2948899      2.13504
      11.1702       2.4860301      2.06193
      11.1885       2.7035501      1.96215
