 ICOMP=17: Draine 2003 astrosilicate                 0.1000 = grain radius (micron)   20.00 = grain temperature (K)     837 = number of wavelengths  wave(um)      eps_1-1    eps_2      Re(n)-1     Im(n)

Wavelength [microns]  Re(m)       Im(m)
  0.000928719      0.99958158  9.29400e-05
  0.000930113      0.99957973  9.60900e-05
  0.000930811      0.99957931  9.86400e-05
  0.000931510      0.99958020  0.000102000
  0.000932210      0.99958301  0.000104600
  0.000932491      0.99958420  0.000105100
  0.000932912      0.99958563  0.000104000
  0.000933615      0.99958712  0.000102400
  0.000934318      0.99958807  0.000102500
  0.000935023      0.99958950  0.000102700
  0.000935728      0.99958968  9.85400e-05
  0.000936435      0.99958760  9.59900e-05
  0.000937143      0.99958408  9.69900e-05
  0.000937852      0.99958140  9.83900e-05
  0.000938562      0.99958009  0.000102600
  0.000939273      0.99958080  0.000105900
  0.000939985      0.99958438  0.000110100
  0.000940698      0.99958879  0.000110000
  0.000941412      0.99959087  0.000105000
  0.000942128      0.99958920  0.000102000
  0.000942844      0.99958599  0.000102700
  0.000943562      0.99958211  0.000104300
  0.000944280      0.99957567  0.000107500
  0.000944568      0.99957478  0.000112400
  0.000944856      0.99957520  0.000119700
  0.000945144      0.99957907  0.000131000
  0.000945432      0.99958891  0.000139900
  0.000945721      0.99960220  0.000148800
  0.000946009      0.99961352  0.000153700
  0.000946298      0.99962139  0.000145800
  0.000946587      0.99962968  0.000123400
  0.000946876      0.99963617  0.000104300
  0.000947166      0.99963838  9.63800e-05
  0.000947890      0.99962360  8.43800e-05
  0.000948615      0.99961382  8.03300e-05
  0.000949342      0.99960721  7.97800e-05
  0.000950069      0.99960268  7.83800e-05
  0.000950798      0.99959922  7.81800e-05
  0.000951527      0.99959660  7.83800e-05
  0.000952258      0.99959499  7.81800e-05
  0.000952990      0.99959272  7.63800e-05
  0.000953136      0.99959230  7.55800e-05
  0.000953723      0.99959022  7.57800e-05
  0.000991872      0.99953592  8.70400e-05
   0.00103320      0.99949342  0.000100500
   0.00107812      0.99944830  0.000116600
   0.00112713      0.99939883  0.000136100
   0.00118080      0.99934429  0.000159800
   0.00123984      0.99928480  0.000188700
   0.00124607      0.99927819  0.000191900
   0.00125236      0.99927223  0.000195200
   0.00125872      0.99926567  0.000198600
   0.00126514      0.99925917  0.000202000
   0.00127163      0.99925268  0.000205600
   0.00127819      0.99924618  0.000209200
   0.00128481      0.99923968  0.000212900
   0.00129150      0.99923271  0.000216600
   0.00129826      0.99922621  0.000220500
   0.00130510      0.99921972  0.000224100
   0.00131200      0.99921322  0.000227800
   0.00131898      0.99920619  0.000231600
   0.00132603      0.99919868  0.000235500
   0.00133316      0.99919170  0.000239600
   0.00134037      0.99918419  0.000243700
   0.00134765      0.99917668  0.000248400
   0.00135502      0.99916971  0.000253400
   0.00136246      0.99916267  0.000258600
   0.00136999      0.99915570  0.000263700
   0.00137302      0.99915367  0.000265700
   0.00137760      0.99914968  0.000268400
   0.00138530      0.99914318  0.000272500
   0.00139308      0.99913669  0.000276100
   0.00139622      0.99913359  0.000277500
   0.00139937      0.99913013  0.000279000
   0.00140253      0.99912661  0.000280600
   0.00140571      0.99912310  0.000282400
   0.00140891      0.99911958  0.000284400
   0.00141212      0.99911612  0.000286800
   0.00141534      0.99911261  0.000289600
   0.00141858      0.99910963  0.000292200
   0.00142184      0.99910712  0.000294700
   0.00142510      0.99910408  0.000297300
   0.00142674      0.99910259  0.000298500
   0.00142839      0.99910158  0.000299700
   0.00143003      0.99909961  0.000300900
   0.00143169      0.99909860  0.000302100
   0.00143334      0.99909711  0.000303500
   0.00143500      0.99909562  0.000304900
   0.00143666      0.99909359  0.000306300
   0.00143833      0.99909210  0.000308000
   0.00144000      0.99909008  0.000310300
   0.00144167      0.99908912  0.000312800
   0.00144335      0.99908859  0.000315500
   0.00144503      0.99908859  0.000318400
   0.00144672      0.99908960  0.000320900
   0.00144841      0.99909163  0.000322600
   0.00145010      0.99909359  0.000322500
   0.00145180      0.99909461  0.000321500
   0.00145351      0.99909508  0.000320400
   0.00145521      0.99909508  0.000319200
   0.00145692      0.99909461  0.000317900
   0.00145863      0.99909461  0.000316600
   0.00146035      0.99909359  0.000313900
   0.00146208      0.99909210  0.000311200
   0.00146380      0.99908811  0.000308500
   0.00146553      0.99908358  0.000307700
   0.00146727      0.99907959  0.000308100
   0.00146901      0.99907613  0.000309200
   0.00147075      0.99907309  0.000310400
   0.00147249      0.99907058  0.000311600
   0.00147424      0.99906808  0.000312600
   0.00147600      0.99906558  0.000313500
   0.00147776      0.99906307  0.000314500
   0.00147952      0.99906057  0.000315500
   0.00148484      0.99905360  0.000319400
   0.00149378      0.99904311  0.000325800
   0.00150284      0.99903357  0.000332300
   0.00151200      0.99902409  0.000339000
   0.00152128      0.99901509  0.000345900
   0.00153067      0.99900663  0.000353000
   0.00154017      0.99899799  0.000360200
   0.00154980      0.99899101  0.000367600
   0.00155955      0.99898398  0.000373000
   0.00156942      0.99897599  0.000378500
   0.00157941      0.99896801  0.000384100
   0.00158954      0.99896002  0.000390000
   0.00159979      0.99895102  0.000395900
   0.00161018      0.99894202  0.000401900
   0.00162071      0.99893302  0.000408200
   0.00163137      0.99892402  0.000414500
   0.00164217      0.99891597  0.000421100
