Pyroxene Minerals (crystalline) (Jäger et al. 1998) :Enstatite (normal to c-axis), s2from: http://www.astro.uni-jena.de/Laboratory/Database/data/silicate/ens_s2.lnk808 linesmicrons    n               k

Wavelength [microns]  Re(m)       Im(m)
      2.00000       1.5573300    0.0114850
      2.50000       1.5490700    0.0145400
      3.00000       1.5405900    0.0185300
      3.50000       1.5309401    0.0214700
      4.00000       1.5183100    0.0250300
      4.50000       1.5019100    0.0283060
      5.00000       1.4845700    0.0325500
      5.50000       1.4625100    0.0353680
      6.00000       1.4296200    0.0387800
      6.20000       1.4158300    0.0403160
      6.40000       1.3998300    0.0417900
      6.60000       1.3784699    0.0431020
      6.80000       1.3614200    0.0444420
      7.00000       1.3381300    0.0456100
      7.10000       1.3278700    0.0468070
      7.20000       1.3142500    0.0484200
      7.30000       1.2998500    0.0500910
      7.40000       1.2852700    0.0522560
      7.50000       1.2588400    0.0544400
      7.60000       1.2432300    0.0566500
      7.70000       1.2181600    0.0589720
      7.80000       1.1961100    0.0621300
      7.90000       1.1682400    0.0650000
      8.00117       1.1443599    0.0635410
      8.01056       1.1360199    0.0642700
      8.01998       1.1300600    0.0691630
      8.02941       1.1335200    0.0779280
      8.03887       1.1387000    0.0665500
      8.04835       1.1213400    0.0669510
      8.05785       1.1281000    0.0793380
      8.06738       1.1274101    0.0635340
      8.07692       1.1158500    0.0728570
      8.08649       1.1241200    0.0635130
      8.09609       1.1006401    0.0646450
      8.10570       1.1125000    0.0747590
      8.11534       1.0943000    0.0582220
      8.12500       1.0845300    0.0818900
      8.13468       1.0923500    0.0805510
      8.14439       1.0917701    0.0902290
      8.15412       1.1005501    0.0755320
      8.16388       1.0842600    0.0739810
      8.17365       1.0778900    0.0752900
      8.18345       1.0695800    0.0873260
      8.19328       1.0782700    0.0891810
      8.20313       1.0751801    0.0910870
      8.21300       1.0828900    0.0844380
      8.22289       1.0745900    0.0775610
      8.23281       1.0650001    0.0689110
      8.24275       1.0464900    0.0814750
      8.25272       1.0602900    0.0883490
      8.26271       1.0548600    0.0833110
      8.27273       1.0629500    0.0661870
      8.28277       1.0238000    0.0561420
      8.29283       1.0103500    0.0936970
      8.30292       1.0308700    0.0844100
      8.31303       1.0138201    0.0877790
      8.32317       1.0184100    0.0875000
      8.33333       1.0010099    0.0925880
      8.34352       1.0212700     0.103409
      8.35373       1.0071599    0.0756590
      8.36397      0.98212200    0.0981780
      8.37423       1.0104400    0.0984200
      8.38452      0.98774302    0.0818420
      8.39483      0.98736000    0.0958740
      8.40517      0.97746301    0.0774450
      8.41554      0.95724398    0.0952590
      8.42593      0.96691298    0.0922600
      8.43634      0.95078099    0.0927600
      8.44678      0.95049000    0.0908000
      8.45725      0.92729002    0.0919820
      8.46774      0.92632997     0.109007
      8.47826      0.92442000     0.114740
      8.48881      0.93833399     0.110952
      8.49938      0.92192501    0.0909920
      8.50998      0.90241498    0.0980130
      8.52060      0.89225000     0.104370
      8.53125      0.89212000     0.111190
      8.54193      0.88311797     0.102691
      8.55263      0.87154198     0.109109
      8.56336      0.86366200     0.103851
      8.57412      0.84527999     0.110460
      8.58491      0.84242499     0.115588
      8.59572      0.83010602     0.111561
      8.60656      0.81407702     0.116461
      8.61742      0.80332398     0.121358
      8.62832      0.79024899     0.126130
      8.63924      0.78127003     0.127740
      8.65019      0.75753999     0.126420
      8.66117      0.73542601     0.143283
      8.67217      0.71829498     0.156976
      8.68321      0.69775897     0.183534
      8.69427      0.69533700     0.224666
      8.70536      0.72841901     0.256267
      8.71647      0.76766402     0.244295
      8.72762      0.77826899     0.208853
      8.73880      0.76075202     0.180645
      8.75000      0.73904902     0.165670
      8.76123      0.71176499     0.154382
      8.77249      0.68394798     0.151711
      8.78378      0.65511900     0.152390
      8.79510      0.63014698     0.155919
      8.80645      0.59868503     0.159040
      8.81783      0.57191902     0.170360
      8.82924      0.54229301     0.177864
      8.84067      0.51658899     0.191635
      8.85214      0.48501101     0.197350
      8.86364      0.44969001     0.214834
      8.87516      0.41413900     0.230646
      8.88672      0.37555400     0.255204
      8.89830      0.33409700     0.283698
      8.90992      0.29684401     0.326955
      8.92157      0.26549700     0.372517
      8.93325      0.24504501     0.426656
      8.94495      0.23008500     0.473534
      8.95669      0.22142200     0.525677
      8.96846      0.21555100     0.569020
      8.98026      0.21329100     0.617147
      8.99210      0.21145999     0.656469
      9.00396      0.21120000     0.702426
      9.01585      0.21219000     0.741382
      9.02778      0.21592100     0.786206
      9.03974      0.21947201     0.823026
      9.05172      0.22492801     0.866487
      9.06374      0.22966801     0.902516
      9.07580      0.23632100     0.946218
      9.08788      0.24254900     0.983452
      9.10000      0.25260001      1.02791
      9.11215      0.26060101      1.06473
      9.12433      0.27281800      1.11027
      9.13655      0.28252399      1.14763
      9.14879      0.29700601      1.19517
      9.16107      0.30920601      1.23440
      9.17339      0.32788301      1.28394
      9.18573      0.34128600      1.32407
      9.19811      0.36393300      1.38057
      9.21053      0.38607699      1.42242
      9.22297      0.41321200      1.47986
      9.23545      0.44030401      1.52594
      9.24797      0.47685999      1.58995
      9.26052      0.51799798      1.63837
      9.27310      0.56639999      1.70100
      9.28571      0.61863297      1.75258
      9.29836      0.68878198      1.81812
      9.31105      0.76687700      1.86286
      9.32377      0.86296600      1.91124
      9.33653      0.96049100      1.93294
      9.34932       1.0745699      1.94920
      9.36214       1.1754000      1.93299
      9.37500       1.2802700      1.91017
