Pyroxene Minerals (crystalline) (Jäger et al. 1998) :Enstatite (parallel to c-axis) from : http://www.astro.uni-jena.de/Laboratory/Database/data/silicate/ens_p.lnk808 linesmicrons    n               k

Wavelength [microns]  Re(m)       Im(m)
      66.2621       2.3821499     0.188600
      66.9118       2.3889799     0.222100
      67.5743       2.3283100     0.215450
      68.2500       2.2687500     0.364480
      68.9394       2.4206100     0.500220
      69.6429       2.5636001     0.423490
      70.3608       2.5747700     0.329920
      71.0938       2.5003400     0.293990
      71.8421       2.4597001     0.394780
      72.6064       2.5821300     0.494800
      73.3871       2.7523501     0.396650
      74.1848       2.7046599     0.260190
      75.0000       2.6962700     0.275660
      75.8333       2.7175500     0.179960
      76.6854       2.6265099     0.159370
      77.5568       2.6248600     0.186730
      78.4483       2.6204100     0.167260
      79.3605       2.5964401     0.164180
      80.2941       2.5943601     0.187400
      81.2500       2.6178501     0.164320
      82.2289       2.5792699     0.157780
      83.2317       2.6065300     0.182590
      84.2593       2.6055300     0.133210
      85.3125       2.5682099     0.155050
      86.3924       2.6091800     0.168180
      87.5000       2.6049600     0.109470
      88.6364       2.5502801     0.125760
      89.8026       2.5774901     0.157970
      91.0000       2.5903001     0.130410
      92.2297       2.5819299     0.118040
      93.4931       2.5620401     0.110780
      94.7917       2.5606101     0.124210
      96.1268       2.5523200     0.115420
      97.5000       2.5517499     0.144060
      98.9130       2.5855300     0.126990
