Pyroxene Minerals (crystalline) (Jäger et al. 1998) :Enstatite (parallel to c-axis) from : http://www.astro.uni-jena.de/Laboratory/Database/data/silicate/ens_p.lnk808 linesmicrons    n               k

Wavelength [microns]  Re(m)       Im(m)
      9.75000      0.54790002     0.512830
      9.76395      0.50694001     0.554440
      9.77794      0.48017001     0.604980
      9.79197      0.46426001     0.657020
      9.80603      0.45932001     0.710010
      9.82014      0.46169999     0.761030
      9.83429      0.47383001     0.812300
      9.84848      0.49516001     0.859140
      9.86272      0.52678001     0.900000
      9.87699      0.56436998     0.931520
      9.89130      0.61230999     0.951350
      9.90566      0.65815002     0.948930
      9.92006      0.69581997     0.932070
      9.93450      0.71596003     0.899540
      9.94898      0.71429998     0.866390
      9.96350      0.69233000     0.837830
      9.97807      0.65373999     0.826940
      9.99268      0.61184001     0.835600
      10.0073      0.57191998     0.860710
      10.0220      0.53991997     0.902070
      10.0368      0.52392000     0.951150
      10.0515      0.51795000     0.999910
      10.0664      0.52272999      1.04811
      10.0812      0.53156000      1.09051
      10.0962      0.54484999      1.13354
      10.1111      0.56132001      1.17208
      10.1261      0.58015001      1.21278
      10.1412      0.60509998      1.25246
      10.1563      0.63824999      1.29207
      10.1714      0.68093997      1.32418
      10.1866      0.73275000      1.34748
      10.2018      0.79018003      1.34963
      10.2171      0.83929002      1.33136
      10.2324      0.87132001      1.29422
      10.2478      0.87295002      1.25043
      10.2632      0.84654999      1.21937
      10.2786      0.80419999      1.21105
      10.2941      0.75788999      1.22875
      10.3097      0.72084999      1.26812
      10.3253      0.69663000      1.31965
      10.3409      0.68580002      1.37789
      10.3566      0.68694001      1.43852
      10.3723      0.69887000      1.49625
      10.3881      0.71324998      1.55237
      10.4040      0.73531002      1.60937
      10.4199      0.75857002      1.66483
      10.4358      0.79054999      1.72529
      10.4518      0.82929999      1.77964
      10.4678      0.87009001      1.83361
      10.4839      0.91399997      1.88863
      10.5000      0.96627003      1.94537
      10.5162       1.0233500      2.00002
      10.5324       1.0897400      2.05555
      10.5487       1.1626300      2.10707
      10.5650       1.2448800      2.15583
      10.5814       1.3307500      2.20003
      10.5978       1.4258000      2.24332
      10.6143       1.5279300      2.28661
      10.6308       1.6505100      2.32448
      10.6474       1.7790300      2.35359
      10.6641       1.9311000      2.37764
      10.6807       2.1010499      2.38662
      10.6975       2.3024600      2.36656
      10.7143       2.5112000      2.31464
      10.7311       2.7600100      2.20863
      10.7480       2.9837501      2.01465
      10.7650       3.1752701      1.74792
      10.7820       3.2603400      1.40414
      10.7991       3.2136300      1.07575
      10.8162       3.0853701     0.826660
      10.8333       2.9346001     0.652880
      10.8506       2.7902601     0.540150
      10.8678       2.6619501     0.458750
      10.8852       2.5484600     0.404220
      10.9026       2.4515300     0.361870
      10.9200       2.3704901     0.323440
      10.9375       2.2813301     0.280340
      10.9551       2.1935101     0.263090
      10.9727       2.1205599     0.247840
      10.9903       2.0525999     0.237600
      11.0081       1.9882500     0.225220
      11.0259       1.9266400     0.219960
      11.0437       1.8693800     0.210340
      11.0616       1.8080300     0.201700
      11.0795       1.7390200     0.201030
      11.0976       1.6853499     0.214340
      11.1156       1.6315100     0.211810
      11.1338       1.5755700     0.225530
      11.1520       1.5283800     0.223170
      11.1702       1.4623200     0.229650
      11.1885       1.4040800     0.239230
      11.2069       1.3375900     0.252670
      11.2253       1.2723900     0.261710
      11.2438       1.1793300     0.279190
      11.2624       1.0882699     0.325600
      11.2810      0.99561000     0.378520
      11.2997      0.89502001     0.465650
      11.3184      0.82207000     0.577840
      11.3372      0.76018000     0.705200
      11.3561      0.73681003     0.849580
      11.3750      0.73325002     0.985150
      11.3940      0.75730002      1.11819
      11.4130      0.78451002      1.23847
      11.4322      0.83604002      1.36056
      11.4513      0.88581002      1.46627
      11.4706      0.95600998      1.57890
      11.4899       1.0254000      1.67566
      11.5093       1.1135300      1.78143
      11.5287       1.2054900      1.87856
      11.5482       1.3328000      1.97752
      11.5678       1.4565099      2.04929
      11.5874       1.6035200      2.13023
      11.6071       1.7619700      2.19680
      11.6269       1.9685100      2.25030
      11.6468       2.1766400      2.26004
      11.6667       2.4183700      2.24590
      11.6866       2.6688299      2.18101
      11.7067       2.9380500      2.03153
      11.7268       3.1454999      1.82099
      11.7470       3.3166399      1.53191
      11.7672       3.3607600      1.22170
      11.7876       3.3125300     0.925610
      11.8080       3.1926601     0.729760
      11.8284       3.0817699     0.575170
      11.8490       2.9590900     0.484480
      11.8696       2.8751600     0.410310
      11.8902       2.7859001     0.346260
      11.9110       2.7022600     0.298820
      11.9318       2.6298001     0.268310
      11.9527       2.5632401     0.241540
      11.9737       2.5135300     0.224800
      11.9947       2.4564300     0.196860
      12.0158       2.4115100     0.193980
      12.0370       2.3686900     0.167970
      12.0583       2.3219600     0.171890
      12.0796       2.2963901     0.157340
      12.1011       2.2584801     0.153260
      12.1226       2.2344501     0.138280
      12.1441       2.1931901     0.133610
      12.1658       2.1728699     0.132720
      12.1875       2.1461999     0.120840
      12.2093       2.1136401     0.116340
      12.2312       2.0913899     0.119560
      12.2531       2.0654500     0.110940
      12.2752       2.0403099     0.124890
      12.2973       2.0373499     0.120040
      12.3195       2.0141599     0.112630
      12.3418       1.9990000     0.109980
      12.3641       1.9797900     0.105470
      12.3866       1.9587500     0.100650
      12.4091       1.9382200     0.110190
      12.4317       1.9344200     0.107450
      12.4544       1.9148901     0.105810
      12.4771       1.9112900     0.103520
      12.5000       1.8910500    0.0932800
      12.5229       1.8772800    0.0922500
      12.5460       1.8523500    0.0904800
      12.5691       1.8478600     0.104110
      12.5922       1.8404100    0.0880400
      12.6155       1.8195800    0.0916800
      12.6389       1.8086500    0.0861600
      12.6623       1.7882200    0.0969700
      12.6859       1.7941800    0.0948500
