

Wavelength [microns]  Re(m)       Im(m)
      5.56326       1.3673668   0.00141546
      5.56646       1.3670663   0.00142019
      5.56966       1.3667653   0.00142494
      5.57286       1.3664634   0.00142970
      5.57606       1.3661613   0.00143448
      5.57926       1.3658584   0.00143929
      5.58246       1.3655550   0.00144411
      5.58566       1.3652511   0.00144895
      5.58886       1.3649465   0.00145380
      5.59206       1.3646413   0.00145868
      5.59526       1.3643355   0.00146357
      5.59846       1.3640293   0.00146848
      5.60166       1.3637222   0.00147342
      5.60486       1.3634148   0.00147837
      5.60806       1.3631065   0.00148334
      5.61126       1.3627977   0.00148833
      5.61446       1.3624884   0.00149333
      5.61766       1.3621784   0.00149836
      5.62086       1.3618680   0.00150341
      5.62406       1.3615566   0.00150847
      5.62726       1.3612450   0.00151356
      5.63046       1.3609326   0.00151867
      5.63366       1.3606195   0.00152379
      5.63686       1.3603059   0.00152894
      5.64006       1.3599917   0.00153410
      5.64326       1.3596770   0.00153928
      5.64646       1.3593614   0.00154449
      5.64966       1.3590453   0.00154971
      5.65287       1.3587285   0.00155496
      5.65607       1.3584112   0.00156023
      5.65927       1.3580933   0.00156551
      5.66247       1.3577747   0.00157082
      5.66567       1.3574554   0.00157615
      5.66887       1.3571357   0.00158150
      5.67207       1.3568151   0.00158686
      5.67527       1.3564939   0.00159226
      5.67847       1.3561722   0.00159767
      5.68167       1.3558496   0.00160310
      5.68487       1.3555267   0.00160855
      5.68807       1.3552029   0.00161403
      5.69127       1.3548787   0.00161953
      5.69447       1.3545536   0.00162505
      5.69767       1.3542279   0.00163059
      5.70087       1.3539017   0.00163615
      5.70407       1.3535748   0.00164173
      5.70727       1.3532470   0.00164734
      5.71047       1.3529189   0.00165297
      5.71367       1.3525900   0.00165862
      5.71687       1.3522604   0.00166429
      5.72007       1.3519301   0.00166999
      5.72327       1.3515992   0.00167570
      5.72647       1.3512676   0.00168145
      5.72967       1.3509353   0.00168721
      5.73287       1.3506024   0.00169300
      5.73607       1.3502688   0.00169881
      5.73927       1.3499346   0.00170464
      5.74247       1.3495996   0.00171049
      5.74567       1.3492639   0.00171638
      5.74887       1.3489277   0.00172228
      5.75208       1.3485907   0.00172821
      5.75528       1.3482530   0.00173416
      5.75848       1.3479147   0.00174013
      5.76168       1.3475757   0.00174613
      5.76488       1.3472359   0.00175215
      5.76808       1.3468955   0.00175820
      5.77128       1.3465543   0.00176427
      5.77448       1.3462125   0.00177037
      5.77768       1.3458700   0.00177649
      5.78088       1.3455267   0.00178263
      5.78408       1.3451828   0.00178880
      5.78728       1.3448383   0.00179500
      5.79048       1.3444929   0.00180122
      5.79368       1.3441468   0.00180746
      5.79688       1.3438001   0.00181373
      5.80008       1.3434526   0.00182003
      5.80328       1.3431044   0.00182635
      5.80648       1.3427554   0.00183270
      5.80968       1.3424058   0.00183908
      5.81288       1.3420554   0.00184547
      5.81608       1.3417044   0.00185190
      5.81928       1.3413526   0.00185835
      5.82248       1.3410000   0.00186483
      5.82568       1.3406467   0.00187134
      5.82888       1.3402927   0.00187787
      5.83208       1.3399379   0.00188443
      5.83528       1.3395824   0.00189101
      5.83848       1.3392262   0.00189763
      5.84168       1.3388692   0.00190427
      5.84488       1.3385115   0.00191094
      5.84808       1.3381530   0.00191763
      5.85128       1.3377938   0.00192435
      5.85449       1.3374339   0.00193110
      5.85769       1.3370732   0.00193788
      5.86089       1.3367118   0.00194469
      5.86409       1.3363495   0.00195153
      5.86729       1.3359864   0.00195839
      5.87049       1.3356227   0.00196528
      5.87369       1.3352581   0.00197220
      5.87689       1.3348929   0.00197915
      5.88009       1.3345268   0.00198613
      5.88329       1.3341600   0.00199314
      5.88649       1.3337922   0.00200018
      5.88969       1.3334240   0.00200724
      5.89289       1.3330547   0.00201434
      5.89609       1.3326848   0.00202147
      5.89929       1.3323139   0.00202863
      5.90249       1.3319423   0.00203581
      5.90569       1.3315700   0.00204303
      5.90889       1.3311969   0.00205028
      5.91209       1.3308231   0.00205755
      5.91529       1.3304483   0.00206486
      5.91849       1.3300728   0.00207220
      5.92169       1.3296963   0.00207957
      5.92489       1.3293192   0.00208697
      5.92809       1.3289412   0.00209441
      5.93129       1.3285625   0.00210187
      5.93449       1.3281829   0.00210937
      5.93769       1.3278025   0.00211690
      5.94089       1.3274214   0.00212446
      5.94409       1.3270392   0.00213206
      5.94729       1.3266565   0.00213968
      5.95050       1.3262726   0.00214734
      5.95370       1.3258883   0.00215503
      5.95690       1.3255028   0.00216276
      5.96010       1.3251166   0.00217051
      5.96330       1.3247296   0.00217830
      5.96650       1.3243418   0.00218613
      5.96970       1.3239530   0.00219399
      5.97290       1.3235633   0.00220188
      5.97610       1.3231732   0.00220980
      5.97930       1.3227818   0.00221777
      5.98250       1.3223897   0.00222576
      5.98570       1.3219967   0.00223379
      5.98890       1.3216029   0.00224185
      5.99210       1.3212081   0.00224995
      5.99530       1.3208126   0.00225809
      5.99850       1.3204161   0.00226626
      6.00170       1.3200188   0.00227447
      6.00490       1.3196207   0.00228271
      6.00810       1.3192216   0.00229099
      6.01130       1.3188217   0.00229930
      6.01450       1.3184208   0.00230765
      6.01770       1.3180192   0.00231604
      6.02090       1.3176165   0.00232446
      6.02410       1.3172131   0.00233292
      6.02730       1.3168086   0.00234142
      6.03050       1.3164034   0.00234996
      6.03370       1.3159970   0.00235853
      6.03690       1.3155900   0.00236714
      6.04010       1.3151821   0.00237579
      6.04330       1.3147731   0.00238448
      6.04650       1.3143634   0.00239321
      6.04971       1.3139524   0.00240197
      6.05291       1.3135409   0.00241078
      6.05611       1.3131284   0.00241962
      6.05931       1.3127148   0.00242850
      6.06251       1.3123003   0.00243743
      6.06571       1.3118849   0.00244639
      6.06891       1.3114687   0.00245539
      6.07211       1.3110514   0.00246443
      6.07531       1.3106332   0.00247352
      6.07851       1.3102140   0.00248264
      6.08171       1.3097941   0.00249181
      6.08491       1.3093729   0.00250101
      6.08811       1.3089510   0.00251026
      6.09131       1.3085281   0.00251955
      6.09451       1.3081040   0.00252888
      6.09771       1.3076793   0.00253826
      6.10091       1.3072534   0.00254767
      6.10411       1.3068266   0.00255713
      6.10731       1.3063987   0.00256664
      6.11051       1.3059701   0.00257618
      6.11371       1.3055402   0.00258577
      6.11691       1.3051095   0.00259540
      6.12011       1.3046777   0.00260508
      6.12331       1.3042452   0.00261480
      6.12651       1.3038113   0.00262456
      6.12971       1.3033766   0.00263437
      6.13291       1.3029410   0.00264423
      6.13611       1.3025043   0.00265413
      6.13931       1.3020666   0.00266407
      6.14251       1.3016278   0.00267407
      6.14571       1.3011880   0.00268410
      6.14891       1.3007473   0.00269419
      6.15212       1.3003055   0.00270432
      6.15532       1.2998626   0.00271450
      6.15852       1.2994188   0.00272472
      6.16172       1.2989739   0.00273499
      6.16492       1.2985280   0.00274531
      6.16812       1.2980810   0.00275568
      6.17132       1.2976329   0.00276610
      6.17452       1.2971840   0.00277656
      6.17772       1.2967337   0.00278708
      6.18092       1.2962828   0.00279764
      6.18412       1.2958304   0.00280825
      6.18732       1.2953771   0.00281891
      6.19052       1.2949227   0.00282963
      6.19372       1.2944673   0.00284039
      6.19692       1.2940108   0.00285120
      6.20012       1.2935532   0.00286207
      6.20332       1.2930946   0.00287299
      6.20652       1.2926348   0.00288395
      6.20972       1.2921740   0.00289497
      6.21292       1.2917119   0.00290604
      6.21612       1.2912490   0.00291717
      6.21932       1.2907847   0.00292835
      6.22252       1.2903194   0.00293958
      6.22572       1.2898532   0.00295086
      6.22892       1.2893858   0.00296220
      6.23212       1.2889171   0.00297359
      6.23532       1.2884474   0.00298504
      6.23852       1.2879765   0.00299654
      6.24172       1.2875046   0.00300810
      6.24492       1.2870314   0.00301971
      6.24813       1.2865571   0.00303138
      6.25133       1.2860818   0.00304310
      6.25453       1.2856052   0.00305488
      6.25773       1.2851275   0.00306672
      6.26093       1.2846487   0.00307862
      6.26413       1.2841686   0.00309057
      6.26733       1.2836876   0.00310258
      6.27053       1.2832052   0.00311465
      6.27373       1.2827216   0.00312678
      6.27693       1.2822368   0.00313897
      6.28013       1.2817510   0.00315121
