Optical constants for amorphous carbon - ACAR sample.  Data from Zubko V. et al 1996, MNRAS, 282, 1321-1329,  Range 0.05 - 1984 mic, 1245 entries. [ZI, Aug 96

Wavelength [microns]  Re(m)       Im(m)
      36.4500       4.2589998      1.24000
      36.7600       4.2639999      1.24000
      37.0800       4.2690001      1.24100
      37.4100       4.2729998      1.24100
      37.7300       4.2770000      1.24200
      38.0600       4.2800002      1.24500
      38.4000       4.2849998      1.24900
      38.7300       4.2919998      1.25400
      39.0700       4.3010001      1.25700
      39.4100       4.3099999      1.25600
      39.7500       4.3160000      1.25400
      40.1000       4.3200002      1.25200
      40.4500       4.3210001      1.25300
      40.8000       4.3220000      1.25700
      41.1600       4.3249998      1.26400
      41.5200       4.3299999      1.27300
      41.8800       4.3390002      1.28200
      42.2500       4.3509998      1.28700
      42.6200       4.3620000      1.29000
      42.9900       4.3720002      1.29200
      43.3600       4.3820000      1.29500
      43.7400       4.3930001      1.29800
      44.1200       4.4050002      1.29900
      44.5100       4.4159999      1.29700
      44.9000       4.4250002      1.29400
      45.2900       4.4330001      1.29300
      45.6800       4.4400001      1.29200
      46.0800       4.4480000      1.29100
      46.4900       4.4540000      1.28800
      46.8900       4.4590001      1.28700
      47.3000       4.4619999      1.28800
      47.7100       4.4679999      1.29100
      48.1300       4.4759998      1.29300
      48.5500       4.4829998      1.29200
      48.9700       4.4889998      1.29200
      49.4000       4.4940000      1.29300
      49.8300       4.4990001      1.29400
      50.2700       4.5050001      1.29600
      50.7100       4.5110002      1.29600
      51.1500       4.5149999      1.29900
      51.5900       4.5209999      1.30300
      52.0400       4.5289998      1.30600
      52.5000       4.5370002      1.30700
      52.9600       4.5440001      1.30700
      53.4200       4.5489998      1.30900
      53.8900       4.5539999      1.31300
      54.3600       4.5619998      1.31700
      54.8300       4.5710001      1.31900
      55.3100       4.5799999      1.32000
      55.7900       4.5879998      1.31800
      56.2800       4.5929999      1.31900
      56.7700       4.5980000      1.32100
      57.2700       4.6050000      1.32300
      57.7600       4.6120000      1.32500
      58.2700       4.6190000      1.32600
      58.7800       4.6240001      1.32700
      59.2900       4.6290002      1.33000
      59.8100       4.6360002      1.33600
      60.3300       4.6459999      1.33900
      60.8600       4.6550002      1.33900
      61.3900       4.6630001      1.33900
      61.9200       4.6700001      1.34000
      62.4600       4.6770000      1.33900
      63.0100       4.6810002      1.33900
      63.5600       4.6859999      1.34200
      64.1100       4.6919999      1.34700
      64.6700       4.7010002      1.35100
      65.2400       4.7110000      1.35200
      65.8100       4.7179999      1.35000
      66.3800       4.7230000      1.35200
      66.9600       4.7309999      1.35600
      67.5500       4.7399998      1.35400
      68.1300       4.7449999      1.35200
      68.7300       4.7480001      1.35400
      69.3300       4.7540002      1.35700
      69.9300       4.7600002      1.35900
      70.5400       4.7659998      1.36000
      71.1600       4.7719998      1.36200
      71.7800       4.7779999      1.36400
      72.4100       4.7830000      1.36400
      73.0400       4.7849998      1.36600
      73.6800       4.7900000      1.37300
      74.3200       4.7979999      1.37700
      74.9700       4.8030000      1.37700
      75.6200       4.8080001      1.38400
      76.2800       4.8169999      1.38800
      76.9500       4.8230000      1.38700
      77.6200       4.8280001      1.39400
      78.3000       4.8360000      1.39700
      78.9800       4.8410001      1.39600
      79.6700       4.8439999      1.40100
      80.3700       4.8490000      1.40800
      81.0700       4.8550000      1.41400
      81.7700       4.8620000      1.42000
      82.4900       4.8699999      1.42600
      83.2100       4.8769999      1.43100
      83.9300       4.8860002      1.43700
      84.6700       4.8940001      1.44300
      85.4100       4.9029999      1.44800
      86.1500       4.9130001      1.45500
      86.9000       4.9260001      1.46100
      87.6600       4.9340000      1.45700
      88.4300       4.9359999      1.46200
      89.2000       4.9460001      1.47700
      89.9800       4.9600000      1.48100
      90.7600       4.9710002      1.48600
      91.5500       4.9850001      1.49300
      92.3500       5.0009999      1.49300
      93.1600       5.0110002      1.48800
      93.9700       5.0180001      1.49300
      94.7900       5.0310001      1.49900
      95.6200       5.0440001      1.49500
      96.4600       5.0479999      1.49100
      97.3000       5.0500002      1.50000
      98.1500       5.0630002      1.51400
      99.0000       5.0799999      1.51700
      99.8700       5.0980000      1.52200
      100.700       5.1139998      1.51400
      101.600       5.1250000      1.51500
      102.500       5.1380000      1.51100
      103.400       5.1450000      1.50400
      104.300       5.1529999      1.50900
      105.200       5.1669998      1.50800
      106.100       5.1750002      1.49700
      107.100       5.1780000      1.49900
      108.000       5.1849999      1.50000
      108.900       5.1929998      1.50000
      109.900       5.1999998      1.50100
      110.800       5.2080002      1.50100
      111.800       5.2160001      1.50100
      112.800       5.2240000      1.50100
      113.800       5.2319999      1.50000
      114.800       5.2379999      1.49900
      115.800       5.2449999      1.49900
      116.800       5.2459998      1.49500
      117.800       5.2490001      1.50800
      118.800       5.2589998      1.50800
      119.900       5.2670002      1.51300
      120.900       5.2770000      1.51500
      122.000       5.2870002      1.51700
      123.000       5.2950001      1.51400
      124.100       5.2989998      1.51500
      125.200       5.3039999      1.52000
      126.300       5.3119998      1.52500
      127.400       5.3230000      1.52900
      128.500       5.3350000      1.53100
      129.600       5.3449998      1.52900
      130.700       5.3509998      1.52600
      131.900       5.3550000      1.52900
      133.000       5.3620000      1.53300
      134.200       5.3709998      1.53700
      135.400       5.3800001      1.53800
      136.500       5.3880000      1.53900
      137.700       5.3959999      1.54000
      138.900       5.4029999      1.54000
      140.200       5.4089999      1.54300
      141.400       5.4169998      1.54600
      142.600       5.4250002      1.54700
      143.900       5.4330001      1.54800
      145.100       5.4400001      1.54800
      146.400       5.4460001      1.54800
      147.700       5.4499998      1.54900
      148.900       5.4540000      1.55100
      150.200       5.4569998      1.55500
      151.600       5.4610000      1.56200
      152.900       5.4660001      1.56900
      154.200       5.4730000      1.57800
      155.600       5.4819999      1.58700
      156.900       5.4930000      1.59500
      158.300       5.5060000      1.60300
      159.700       5.5209999      1.60800
      161.100       5.5359998      1.61000
      162.500       5.5500002      1.61000
      163.900       5.5619998      1.60900
      165.300       5.5730000      1.60600
      166.800       5.5809999      1.60300
      168.200       5.5879998      1.60100
      169.700       5.5929999      1.60000
      171.200       5.5960002      1.60000
      172.700       5.5999999      1.60300
      174.200       5.6040001      1.60700
      175.700       5.6079998      1.61200
      177.200       5.6139998      1.61900
      178.800       5.6199999      1.62600
      180.300       5.6279998      1.63300
      181.900       5.6360002      1.64000
      183.500       5.6459999      1.64800
      185.100       5.6560001      1.65500
      186.700       5.6669998      1.66100
      188.300       5.6789999      1.66800
      190.000       5.6910000      1.67300
      191.600       5.7030001      1.67800
      193.300       5.7160001      1.68200
      195.000       5.7290001      1.68600
      196.700       5.7410002      1.68900
      198.400       5.7540002      1.69200
      200.100       5.7659998      1.69400
      201.900       5.7779999      1.69500
      203.600       5.7900000      1.69700
      205.400       5.8010001      1.69800
      207.200       5.8119998      1.69900
      209.000       5.8220000      1.70000
      210.900       5.8319998      1.70000
      212.700       5.8410001      1.70200
      214.500       5.8490000      1.70300
      216.400       5.8569999      1.70500
      218.300       5.8649998      1.70800
      220.200       5.8730001      1.71300
      222.100       5.8810000      1.71800
      224.100       5.8909998      1.72500
      226.000       5.9020000      1.73100
      228.000       5.9140000      1.73700
      230.000       5.9280000      1.74300
      232.000       5.9429998      1.74700
      234.000       5.9569998      1.75000
      236.100       5.9710002      1.75100
      238.100       5.9850001      1.75300
      240.200       5.9980001      1.75300
      242.300       6.0110002      1.75400
      244.400       6.0240002      1.75400
      246.600       6.0359998      1.75400
      248.700       6.0479999      1.75400
      250.900       6.0590000      1.75300
      253.100       6.0700002      1.75300
      255.300       6.0809999      1.75200
      257.500       6.0910001      1.75200
      259.700       6.0999999      1.75100
      262.000       6.1090002      1.75100
      264.300       6.1170001      1.75100
      266.600       6.1240001      1.75200
      268.900       6.1310000      1.75400
      271.300       6.1380000      1.75900
      273.600       6.1469998      1.76400
      276.000       6.1570001      1.77000
      278.400       6.1690001      1.77600
      280.900       6.1830001      1.78100
      283.300       6.1970000      1.78400
      285.800       6.2110000      1.78600
      288.300       6.2240000      1.78700
      290.800       6.2360001      1.78800
      293.400       6.2490001      1.79000
      295.900       6.2610002      1.79100
      298.500       6.2740002      1.79200
      301.100       6.2870002      1.79300
      303.700       6.2989998      1.79300
      306.400       6.3099999      1.79200
      309.100       6.3220000      1.79200
      311.700       6.3319998      1.79300
      314.500       6.3429999      1.79400
      317.200       6.3540001      1.79500
      320.000       6.3649998      1.79700
      322.800       6.3759999      1.79900
      325.600       6.3889999      1.80100
      328.400       6.4020000      1.80200
      331.300       6.4150000      1.80200
      334.200       6.4280000      1.80200
      337.100       6.4400001      1.80100
      340.100       6.4520001      1.80000
      343.000       6.4629998      1.80000
      346.000       6.4749999      1.80000
      349.000       6.4879999      1.79900
      352.100       6.5000000      1.79600
      355.200       6.5110002      1.79300
      358.300       6.5190001      1.78900
      361.400       6.5260000      1.78900
      364.500       6.5330000      1.79000
      367.700       6.5419998      1.79300
      370.900       6.5539999      1.79600
      374.200       6.5660000      1.79700
      377.400       6.5780001      1.79600
      380.700       6.5890002      1.79400
      384.000       6.5970001      1.79100
      387.400       6.6030002      1.78900
      390.800       6.6069999      1.79100
      394.200       6.6129999      1.79800
      397.600       6.6240001      1.80700
      401.100       6.6389999      1.81200
      404.600       6.6539998      1.81400
      408.100       6.6669998      1.81300
      411.700       6.6780000      1.81400
      415.300       6.6900001      1.81700
      418.900       6.7040000      1.81900
      422.600       6.7179999      1.82000
      426.300       6.7319999      1.81900
      430.000       6.7440000      1.81800
      433.700       6.7560000      1.81900
      437.500       6.7690001      1.82000
      441.300       6.7830000      1.82000
      445.200       6.7979999      1.81800
      449.100       6.8109999      1.81500
      453.000       6.8239999      1.81200
      456.900       6.8360000      1.80900
      460.900       6.8470001      1.80600
      464.900       6.8579998      1.80300
      469.000       6.8680000      1.80000
      473.100       6.8779998      1.79700
      477.200       6.8880000      1.79400
      481.400       6.8969998      1.79100
      485.600       6.9060001      1.78900
      489.800       6.9150000      1.78700
      494.100       6.9239998      1.78500
      498.400       6.9320002      1.78300
      502.800       6.9400001      1.78100
      507.200       6.9480000      1.78000
      511.600       6.9559999      1.77900
      516.000       6.9640002      1.77800
      520.600       6.9710002      1.77800
      525.100       6.9790001      1.77700
      529.700       6.9860001      1.77700
      534.300       6.9940000      1.77800
      539.000       7.0009999      1.77900
      543.700       7.0089998      1.78000
      548.400       7.0159998      1.78100
      553.200       7.0240002      1.78300
      558.000       7.0320001      1.78600
      562.900       7.0400000      1.78800
      567.800       7.0489998      1.79100
      572.800       7.0580001      1.79400
      577.800       7.0669999      1.79700
      582.800       7.0770001      1.80000
      587.900       7.0869999      1.80400
      593.000       7.0970001      1.80700
      598.200       7.1079998      1.81000
      603.400       7.1190000      1.81400
      608.700       7.1310000      1.81700
      614.000       7.1430001      1.82000
      619.400       7.1550002      1.82300
      624.800       7.1680002      1.82500
      630.200       7.1810002      1.82700
      635.700       7.1939998      1.82900
      641.300       7.2080002      1.83100
      646.900       7.2210002      1.83200
      652.500       7.2350001      1.83200
      658.200       7.2490001      1.83300
      663.900       7.2620001      1.83200
      669.700       7.2760000      1.83200
      675.600       7.2890000      1.83100
      681.500       7.3030000      1.82900
      687.400       7.3160000      1.82800
      693.400       7.3280001      1.82600
      699.500       7.3410001      1.82400
      705.600       7.3530002      1.82200
      711.700       7.3649998      1.82000
      718.000       7.3769999      1.81700
      724.200       7.3880000      1.81500
      730.500       7.4000001      1.81200
      736.900       7.4109998      1.81000
      743.400       7.4210000      1.80700
      749.800       7.4320002      1.80500
      756.400       7.4419999      1.80200
      763.000       7.4530001      1.80000
      769.600       7.4629998      1.79800
      776.400       7.4730000      1.79500
      783.100       7.4829998      1.79300
      790.000       7.4920001      1.79100
      796.900       7.5019999      1.78900
      803.800       7.5120001      1.78700
      810.800       7.5209999      1.78500
      817.900       7.5310001      1.78300
      825.100       7.5400000      1.78000
      832.300       7.5500002      1.77800
      839.500       7.5590000      1.77600
      846.800       7.5679998      1.77400
      854.200       7.5770001      1.77200
      861.700       7.5850000      1.77000
      869.200       7.5939999      1.76700
      876.800       7.6020002      1.76500
      884.500       7.6100001      1.76300
      892.200       7.6180000      1.76100
      900.000       7.6250000      1.76000
      907.800       7.6329999      1.75800
      915.700       7.6399999      1.75700
      923.700       7.6469998      1.75500
      931.800       7.6539998      1.75400
      939.900       7.6599998      1.75400
      948.100       7.6669998      1.75400
      956.400       7.6729999      1.75400
      964.700       7.6799998      1.75400
      973.200       7.6869998      1.75500
      981.700       7.6929998      1.75600
      990.200       7.6999998      1.75700
      998.900       7.7069998      1.75900
      1008.00       7.7140002      1.76000
      1016.00       7.7220001      1.76200
      1025.00       7.7290001      1.76400
      1034.00       7.7370000      1.76600
      1043.00       7.7440000      1.76900
      1052.00       7.7519999      1.77100
      1062.00       7.7600002      1.77400
      1071.00       7.7690001      1.77600
      1080.00       7.7770000      1.77900
      1090.00       7.7849998      1.78200
      1099.00       7.7940001      1.78400
      1109.00       7.8020000      1.78700
      1118.00       7.8109999      1.79000
      1128.00       7.8200002      1.79400
      1138.00       7.8290000      1.79700
      1148.00       7.8379998      1.80000
      1158.00       7.8480000      1.80400
      1168.00       7.8569999      1.80800
      1178.00       7.8670001      1.81100
      1188.00       7.8769999      1.81500
      1199.00       7.8870001      1.81900
      1209.00       7.8969998      1.82400
      1220.00       7.9080000      1.82800
      1231.00       7.9180002      1.83200
      1241.00       7.9299998      1.83700
      1252.00       7.9410000      1.84200
      1263.00       7.9530001      1.84700
      1274.00       7.9650002      1.85100
      1285.00       7.9780002      1.85600
      1296.00       7.9920001      1.86100
      1308.00       8.0059996      1.86500
      1319.00       8.0200005      1.87000
      1331.00       8.0349998      1.87400
      1342.00       8.0500002      1.87700
      1354.00       8.0660000      1.88000
      1366.00       8.0819998      1.88300
      1378.00       8.0979996      1.88500
      1390.00       8.1140003      1.88700
      1402.00       8.1300001      1.88800
      1414.00       8.1470003      1.88900
      1426.00       8.1630001      1.89000
      1439.00       8.1800003      1.89100
      1451.00       8.1960001      1.89100
      1464.00       8.2139997      1.89100
      1477.00       8.2309999      1.89100
      1490.00       8.2500000      1.89100
      1503.00       8.2679996      1.88900
      1516.00       8.2880001      1.88700
      1529.00       8.3070002      1.88300
      1542.00       8.3269997      1.87800
      1556.00       8.3459997      1.87100
      1569.00       8.3649998      1.86300
      1583.00       8.3830004      1.85400
      1597.00       8.3990002      1.84400
      1611.00       8.4139996      1.83200
      1625.00       8.4280005      1.82100
      1639.00       8.4399996      1.80900
      1653.00       8.4510002      1.79600
      1668.00       8.4600000      1.78400
      1682.00       8.4680004      1.77300
      1697.00       8.4750004      1.76100
      1712.00       8.4809999      1.75100
      1727.00       8.4860001      1.74100
      1742.00       8.4899998      1.73200
      1757.00       8.4930000      1.72400
      1773.00       8.4960003      1.71600
      1788.00       8.4989996      1.71000
      1804.00       8.5010004      1.70300
      1819.00       8.5019999      1.69800
      1835.00       8.5039997      1.69300
      1851.00       8.5039997      1.68800
      1867.00       8.5050001      1.68500
      1884.00       8.5050001      1.68100
      1900.00       8.5039997      1.67900
      1917.00       8.5019999      1.67600
      1933.00       8.4980001      1.67400
      1950.00       8.4919996      1.67200
      1967.00       8.4790001      1.67100
      1984.00       8.4350004      1.67000
