Optical constants for amorphous carbon - ACAR sample.  Data from Zubko V. et al 1996, MNRAS, 282, 1321-1329,  Range 0.05 - 1984 mic, 1245 entries. [ZI, Aug 96

Wavelength [microns]  Re(m)       Im(m)
     0.148900       1.3830000     0.464700
     0.150200       1.3800000     0.459400
     0.151500       1.3760000     0.454800
     0.152800       1.3720000     0.450900
     0.154100       1.3680000     0.447700
     0.155500       1.3640000     0.444900
     0.156800       1.3600000     0.442400
     0.158200       1.3559999     0.440200
     0.159600       1.3520000     0.438100
     0.161000       1.3480000     0.435900
     0.162400       1.3440000     0.433700
     0.163800       1.3390000     0.431600
     0.165200       1.3340000     0.429900
     0.166700       1.3270000     0.428600
     0.168100       1.3210000     0.427900
     0.169600       1.3140000     0.428100
     0.171100       1.3060000     0.429100
     0.172500       1.2990000     0.431200
     0.174100       1.2910000     0.434100
     0.175600       1.2840000     0.437900
     0.177100       1.2770000     0.442500
     0.178700       1.2700000     0.447800
     0.180200       1.2640001     0.453700
     0.181800       1.2580000     0.460200
     0.183400       1.2520000     0.467200
     0.185000       1.2470000     0.474800
     0.186600       1.2420000     0.482800
     0.188200       1.2380000     0.491400
     0.189900       1.2340000     0.500300
     0.191500       1.2309999     0.509700
     0.193200       1.2280000     0.519400
     0.194900       1.2260000     0.529300
     0.196600       1.2250000     0.539400
     0.198300       1.2240000     0.549400
     0.200000       1.2240000     0.559400
     0.201800       1.2240000     0.569200
     0.203500       1.2250000     0.578800
     0.205300       1.2250000     0.588400
     0.207100       1.2260000     0.598100
     0.208900       1.2270000     0.607800
     0.210700       1.2280000     0.617800
     0.212600       1.2300000     0.628200
     0.214400       1.2309999     0.638800
     0.216300       1.2330000     0.649600
     0.218200       1.2359999     0.660700
     0.220100       1.2390000     0.672000
     0.222000       1.2430000     0.683400
     0.223900       1.2470000     0.695000
     0.225900       1.2520000     0.706400
     0.227900       1.2580000     0.717800
     0.229900       1.2640001     0.728900
     0.231900       1.2710000     0.739700
     0.233900       1.2780000     0.750100
     0.235900       1.2850000     0.760400
     0.238000       1.2930000     0.770500
     0.240100       1.3010000     0.780700
     0.242200       1.3090000     0.791000
     0.244300       1.3180000     0.801300
     0.246400       1.3279999     0.811400
     0.248600       1.3390000     0.821000
     0.250700       1.3500000     0.829800
     0.252900       1.3620000     0.837800
     0.255100       1.3740000     0.845000
     0.257300       1.3870000     0.851400
     0.259600       1.3990000     0.857200
     0.261900       1.4110000     0.862500
     0.264100       1.4230000     0.867400
     0.266400       1.4349999     0.871900
     0.268800       1.4470000     0.875900
     0.271100       1.4590000     0.879500
     0.273500       1.4710000     0.882700
     0.275900       1.4830000     0.885300
     0.278300       1.4950000     0.887400
     0.280700       1.5070000     0.888800
     0.283200       1.5190001     0.889400
     0.285600       1.5290000     0.889600
     0.288100       1.5390000     0.889600
     0.290600       1.5490000     0.889600
     0.293200       1.5580000     0.890000
     0.295700       1.5670000     0.890700
     0.298300       1.5760000     0.891600
     0.300900       1.5850000     0.892500
     0.303500       1.5940000     0.893300
     0.306200       1.6030000     0.894000
     0.308900       1.6120000     0.894700
     0.311600       1.6200000     0.895200
     0.314300       1.6289999     0.895700
     0.317000       1.6380000     0.896100
     0.319800       1.6470000     0.896400
     0.322600       1.6560000     0.896600
     0.325400       1.6640000     0.896700
     0.328200       1.6730000     0.896700
     0.331100       1.6810000     0.896700
     0.334000       1.6900001     0.896500
     0.336900       1.6980000     0.896300
     0.339800       1.7070000     0.896000
     0.342800       1.7150000     0.895600
     0.345800       1.7230000     0.895200
     0.348800       1.7320000     0.894600
     0.351900       1.7400000     0.894000
     0.354900       1.7480000     0.893400
     0.358000       1.7560000     0.892600
     0.361200       1.7640001     0.891800
     0.364300       1.7720000     0.890900
     0.367500       1.7800000     0.890000
     0.370700       1.7869999     0.889000
     0.373900       1.7950000     0.887900
     0.377200       1.8030000     0.886700
     0.380500       1.8099999     0.885500
     0.383800       1.8180000     0.884200
     0.387200       1.8250000     0.882900
     0.390500       1.8329999     0.881500
     0.393900       1.8400000     0.880100
     0.397400       1.8470000     0.878500
     0.400800       1.8550000     0.877000
     0.404300       1.8620000     0.875300
     0.407900       1.8690000     0.873700
     0.411400       1.8760000     0.871900
     0.415000       1.8830000     0.870200
     0.418600       1.8890001     0.868300
     0.422300       1.8960000     0.866500
     0.426000       1.9030000     0.864600
     0.429700       1.9090000     0.862700
     0.433500       1.9160000     0.860700
     0.437200       1.9220001     0.858700
     0.441100       1.9290000     0.856700
     0.444900       1.9349999     0.854600
     0.448800       1.9410000     0.852500
     0.452700       1.9470000     0.850400
     0.456700       1.9529999     0.848300
     0.460600       1.9590000     0.846200
     0.464700       1.9650000     0.844100
     0.468700       1.9710000     0.841900
     0.472800       1.9770000     0.839800
     0.476900       1.9820000     0.837700
     0.481100       1.9880000     0.835500
     0.485300       1.9930000     0.833400
     0.489500       1.9990000     0.831200
     0.493800       2.0039999     0.829100
     0.498100       2.0090001     0.827000
     0.502500       2.0139999     0.824900
     0.506800       2.0200000     0.822800
     0.511300       2.0250001     0.820800
     0.515700       2.0300000     0.818700
     0.520200       2.0350001     0.816700
     0.524800       2.0400000     0.814700
     0.529400       2.0439999     0.812700
     0.534000       2.0490000     0.810700
     0.538600       2.0539999     0.808800
     0.543300       2.0590000     0.806800
     0.548100       2.0630000     0.804900
     0.552900       2.0680001     0.803000
     0.557700       2.0730000     0.801200
     0.562600       2.0769999     0.799300
     0.567500       2.0820000     0.797500
     0.572400       2.0860000     0.795700
     0.577400       2.0910001     0.793900
     0.582500       2.0950000     0.792200
     0.587500       2.0990000     0.790400
     0.592700       2.1040001     0.788700
     0.597800       2.1080000     0.787100
     0.603100       2.1120000     0.785400
     0.608300       2.1170001     0.783800
     0.613600       2.1210001     0.782200
     0.619000       2.1250000     0.780600
     0.624400       2.1289999     0.779000
     0.629800       2.1329999     0.777500
     0.635300       2.1380000     0.775900
     0.640900       2.1420000     0.774400
     0.646500       2.1459999     0.772900
     0.652100       2.1500001     0.771300
     0.657800       2.1540000     0.769800
     0.663500       2.1580000     0.768300
     0.669300       2.1619999     0.766800
     0.675200       2.1659999     0.765300
     0.681100       2.1700001     0.763700
     0.687000       2.1740000     0.762200
     0.693000       2.1780000     0.760700
     0.699100       2.1819999     0.759100
     0.705200       2.1860001     0.757500
     0.711300       2.1900001     0.755900
     0.717500       2.1940000     0.754300
     0.723800       2.1970000     0.752700
     0.730100       2.2010000     0.751200
     0.736500       2.2049999     0.749600
     0.742900       2.2079999     0.748100
     0.749400       2.2110000     0.746700
     0.755900       2.2149999     0.745300
     0.762500       2.2179999     0.744000
     0.769200       2.2210000     0.742800
     0.775900       2.2240000     0.741700
     0.782700       2.2270000     0.740700
     0.789500       2.2300000     0.739800
     0.796400       2.2330000     0.739100
     0.803300       2.2360001     0.738500
     0.810300       2.2390001     0.738100
     0.817400       2.2420001     0.737700
     0.824500       2.2460001     0.737500
     0.831700       2.2490001     0.737400
     0.839000       2.2520001     0.737400
     0.846300       2.2560000     0.737300
     0.853700       2.2600000     0.737300
     0.861200       2.2639999     0.737300
     0.868700       2.2679999     0.737200
     0.876300       2.2720001     0.737100
     0.883900       2.2760000     0.736900
     0.891600       2.2809999     0.736500
     0.899400       2.2850001     0.736000
     0.907300       2.2900000     0.735400
     0.915200       2.2939999     0.734600
     0.923200       2.2990000     0.733600
     0.931200       2.3030000     0.732500
     0.939300       2.3069999     0.731300
     0.947500       2.3110001     0.730000
     0.955800       2.3160000     0.728600
     0.964200       2.3190000     0.727200
     0.972600       2.3230000     0.725800
     0.981100       2.3269999     0.724300
     0.989600       2.3310001     0.722900
     0.998300       2.3340001     0.721500
      1.00700       2.3369999     0.720100
      1.01600       2.3410001     0.718800
      1.02500       2.3440001     0.717600
      1.03400       2.3469999     0.716500
      1.04300       2.3499999     0.715400
